eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
neo,T2,tri,uniform,base,9,0,default,inst_fail,inst,RuntimeCheck,16.598,13.289,6,,,,false,false
neo,T2,tri,uniform,base,10,0,default,inst_fail,inst,RuntimeCheck,32.816,16.715,717,,,,false,false
neo,T2,tri,uniform,base,11,0,default,inst_fail,inst,RuntimeCheck,44.655,21.234,10347,,,,false,false
neo,T2,tri,uniform,base,12,0,default,inst_fail,inst,RuntimeCheck,19.705,12.679,2,,,,false,false
neo,T2,tri,uniform,base,13,0,default,inst_fail,inst,RuntimeCheck,33.536,27.376,7630,,,,false,false
neo,T2,tri,uniform,base,14,0,default,inst_fail,inst,RuntimeCheck,29.65,18.437,50,,,,false,false
neo,T2,tri,uniform,base,15,0,default,inst_fail,inst,RuntimeCheck,94.797,19.713,32798,,,,false,false
neo,T2,tri,uniform,base,16,0,default,inst_fail,inst,RuntimeCheck,37.145,20.747,726,,,,false,false
neo,T2,tri,uniform,base,17,0,default,inst_fail,inst,RuntimeCheck,102.24,10.808,63661,,,,false,false
neo,T2,tri,uniform,base,18,0,default,inst_fail,inst,RuntimeCheck,14.364,11.207,6,,,,false,false
neo,T2,tri,uniform,base,19,0,default,inst_fail,inst,RuntimeCheck,78.184,10.348,44310,,,,false,false
neo,T2,tri,uniform,base,20,0,default,inst_fail,inst,RuntimeCheck,41.309,14.675,3552,,,,false,false
neo,T2,tri,hub,base,1,0,default,inst_fail,inst,RuntimeCheck,121.795,11.858,62750,,,,false,false
neo,T2,tri,hub,base,2,0,default,inst_fail,inst,RuntimeCheck,83.694,19.427,44310,,,,false,false
neo,T2,tri,hub,base,3,0,default,inst_fail,inst,RuntimeCheck,82.807,12.174,16592,,,,false,false
neo,T2,tri,hub,base,4,0,default,inst_fail,inst,RuntimeCheck,174.628,25.289,66064,,,,false,false
neo,T2,tri,hub,base,5,0,default,inst_fail,inst,RuntimeCheck,117.398,14.823,66064,,,,false,false
neo,T2,tri,hub,base,6,0,default,inst_fail,inst,RuntimeCheck,100.119,14.05,31522,,,,false,false
neo,T2,tri,hub,base,7,0,default,inst_fail,inst,RuntimeCheck,67.834,11.184,44310,,,,false,false
neo,T2,tri,hub,base,8,0,default,inst_fail,inst,RuntimeCheck,94.507,38.56,44734,,,,false,false
neo,T2,tri,hub,base,9,0,default,inst_fail,inst,RuntimeCheck,133.584,30.156,75288,,,,false,false
neo,T2,tri,hub,base,10,0,default,inst_fail,inst,RuntimeCheck,59.863,12.731,8890,,,,false,false
neo,T2,tri,hub,base,11,0,default,inst_fail,inst,RuntimeCheck,82.435,33.924,8890,,,,false,false
neo,T2,tri,hub,base,12,0,default,inst_fail,inst,RuntimeCheck,97.653,13.377,62177,,,,false,false
neo,T2,tri,hub,base,13,0,default,inst_fail,inst,RuntimeCheck,117.495,40.126,23476,,,,false,false
neo,T2,tri,hub,base,14,0,default,inst_fail,inst,RuntimeCheck,135.685,21.709,66098,,,,false,false
neo,T2,tri,hub,base,15,0,default,inst_fail,inst,RuntimeCheck,116.427,14.996,63612,,,,false,false
neo,T2,tri,hub,base,16,0,default,inst_fail,inst,RuntimeCheck,74.969,17.856,23526,,,,false,false
neo,T2,tri,hub,base,17,0,default,inst_fail,inst,RuntimeCheck,111.087,15.409,68778,,,,false,false
neo,T2,tri,hub,base,18,0,default,inst_fail,inst,RuntimeCheck,107.236,61.206,66064,,,,false,false
neo,T2,tri,hub,base,19,0,default,inst_fail,inst,RuntimeCheck,106.857,16.418,66050,,,,false,false
neo,T2,tri,hub,base,20,0,default,inst_fail,inst,RuntimeCheck,67.818,9.765,62049,,,,false,false
