eng,tid,fam,reg,grp,bid,ord_idx,join_cls,status,fail_stage,fail_type,med_ms,iqr_ms,out,buf_hit,db_hits,work,run_ok,flush_ok
pg,T1,tri,hub,join,3,5,connected,ok,,,9669.398,312.917,62250,52988556,,17687751,,false
pg,T1,tri,hub,join,3,6,connected,ok,,,69.447,1.54,62250,283648,,203024,,false
pg,T1,tri,hub,join,4,0,default,ok,,,36.359,0.455,44876,11004,,163572,,false
pg,T1,tri,hub,join,4,1,connected,ok,,,38.2,2.225,44876,11004,,163572,,false
pg,T1,tri,hub,join,4,2,connected,ok,,,6793.712,1035.314,44876,61313616,,20391157,,false
pg,T1,tri,hub,join,4,3,connected,ok,,,31.695,0.277,44876,11004,,163572,,false
pg,T1,tri,hub,join,4,4,connected,ok,,,42.538,0.687,44876,241848,,164254,,false
pg,T1,tri,hub,join,4,5,connected,ok,,,7378.144,2160.545,44876,61313616,,20391157,,false
pg,T1,tri,hub,join,4,6,connected,ok,,,22.542,1.176,44876,241848,,164254,,false
pg,T1,tri,hub,join,5,0,default,ok,,,23.078,1.228,69478,10304,,218742,,false
pg,T1,tri,hub,join,5,1,connected,ok,,,41.191,0.582,69478,10304,,218742,,false
pg,T1,tri,hub,join,5,2,connected,ok,,,6901.592,1508.486,69478,63233856,,21081239,,false
pg,T1,tri,hub,join,5,3,connected,ok,,,42.249,15.819,69478,10304,,218742,,false
pg,T1,tri,hub,join,5,4,connected,ok,,,54.722,0.4,69478,302276,,219335,,false
pg,T1,tri,hub,join,5,5,connected,ok,,,10026.534,3196.048,69478,63233856,,21081239,,false
pg,T1,tri,hub,join,5,6,connected,ok,,,59.391,1.066,69478,302276,,219335,,false
pg,T2,tri,uniform,join,1,0,default,ok,,,16.212,0.359,20592,4988,,81793,,false
pg,T2,tri,uniform,join,1,1,connected,ok,,,22.401,4.037,20592,4988,,81793,,false
pg,T2,tri,uniform,join,1,2,connected,ok,,,315.173,11.48,20592,4994,,4468033,,false
pg,T2,tri,uniform,join,1,3,connected,ok,,,16.377,0.392,20592,4988,,81793,,false
pg,T2,tri,uniform,join,1,4,connected,ok,,,33.581,1.713,20592,124976,,82093,,false
pg,T2,tri,uniform,join,1,5,connected,ok,,,210.037,76.779,20592,4994,,4468033,,false
pg,T2,tri,uniform,join,1,6,connected,ok,,,21.247,0.637,20592,124976,,82093,,false
pg,T2,tri,uniform,join,2,0,default,ok,,,2.329,0.298,20,396,,1711,,false
pg,T2,tri,uniform,join,2,1,connected,ok,,,2.12,0.533,20,396,,1711,,false
pg,T2,tri,uniform,join,2,2,connected,ok,,,3.136,0.171,20,401,,12831,,false
pg,T2,tri,uniform,join,2,3,connected,ok,,,2.065,0.246,20,396,,1711,,false
pg,T2,tri,uniform,join,2,4,connected,ok,,,2.082,0.31,20,3496,,1747,,false
pg,T2,tri,uniform,join,2,5,connected,ok,,,3.332,0.373,20,401,,12831,,false
pg,T2,tri,uniform,join,2,6,connected,ok,,,1.766,1.096,20,3496,,1747,,false
pg,T2,tri,uniform,join,3,0,default,ok,,,3.501,0.216,176,1640,,7008,,false
pg,T2,tri,uniform,join,3,1,connected,ok,,,3.198,0.221,176,1640,,7008,,false
pg,T2,tri,uniform,join,3,2,connected,ok,,,21.024,1.619,176,1646,,227547,,false
pg,T2,tri,uniform,join,3,3,connected,ok,,,3.351,0.309,176,1640,,7008,,false
pg,T2,tri,uniform,join,3,4,connected,ok,,,4.05,0.57,176,14520,,7013,,false
pg,T2,tri,uniform,join,3,5,connected,ok,,,20.501,0.769,176,1646,,227547,,false
pg,T2,tri,uniform,join,3,6,connected,ok,,,4.046,0.48,176,14520,,7013,,false
pg,T2,tri,uniform,join,4,0,default,ok,,,6.433,0.723,5104,2528,,20315,,false
pg,T2,tri,uniform,join,4,1,connected,ok,,,6.118,0.58,5104,2528,,20315,,false
pg,T2,tri,uniform,join,4,2,connected,ok,,,54.42,1.311,5104,2534,,701255,,false
pg,T2,tri,uniform,join,4,3,connected,ok,,,5.499,0.287,5104,2528,,20315,,false
pg,T2,tri,uniform,join,4,4,connected,ok,,,7.152,0.439,5104,31644,,20473,,false
pg,T2,tri,uniform,join,4,5,connected,ok,,,53.292,0.449,5104,2534,,701255,,false
pg,T2,tri,uniform,join,4,6,connected,ok,,,7.047,0.734,5104,31644,,20473,,false
pg,T2,tri,uniform,join,5,0,default,ok,,,10.863,1.714,12381,4264,,47415,,false
pg,T2,tri,uniform,join,5,1,connected,ok,,,10.757,0.332,12381,4264,,47415,,false
pg,T2,tri,uniform,join,5,2,connected,ok,,,203.92,30.184,12381,4272,,2559742,,false
pg,T2,tri,uniform,join,5,3,connected,ok,,,10.474,0.579,12381,4264,,47415,,false
pg,T2,tri,uniform,join,5,4,connected,ok,,,12.71,0.261,12381,72360,,47729,,false
pg,T2,tri,uniform,join,5,5,connected,ok,,,183.196,14.659,12381,4272,,2559742,,false
pg,T2,tri,uniform,join,5,6,connected,ok,,,13.954,0.222,12381,72360,,47729,,false
pg,T2,tri,hub,join,1,0,default,ok,,,40.534,1.3,66064,10172,,213123,,false
pg,T2,tri,hub,join,1,1,connected,ok,,,38.362,3.529,66064,10172,,213123,,false
pg,T2,tri,hub,join,1,2,connected,ok,,,1354.068,22.77,66064,10180,,20758905,,false
pg,T2,tri,hub,join,1,3,connected,ok,,,36.897,0.247,66064,10172,,213123,,false
pg,T2,tri,hub,join,1,4,connected,ok,,,73.386,20.732,66064,298332,,213682,,false
pg,T2,tri,hub,join,1,5,connected,ok,,,949.532,55.713,66064,10180,,20758905,,false
pg,T2,tri,hub,join,1,6,connected,ok,,,56.663,1.788,66064,298332,,213682,,false
pg,T2,tri,hub,join,2,0,default,ok,,,20.777,0.362,31522,7436,,111951,,false
pg,T2,tri,hub,join,2,1,connected,ok,,,20.799,0.46,31522,7436,,111951,,false
pg,T2,tri,hub,join,2,2,connected,ok,,,413.98,102.576,31522,7444,,9273047,,false
pg,T2,tri,hub,join,2,3,connected,ok,,,20.566,0.241,31522,7436,,111951,,false
pg,T2,tri,hub,join,2,4,connected,ok,,,30.541,0.801,31522,164796,,112410,,false
pg,T2,tri,hub,join,2,5,connected,ok,,,620.468,34.377,31522,7444,,9273047,,false
pg,T2,tri,hub,join,2,6,connected,ok,,,30.25,0.465,31522,164796,,112410,,false
pg,T2,tri,hub,join,3,0,default,ok,,,39.734,0.407,62047,9312,,203215,,false
pg,T2,tri,hub,join,3,1,connected,ok,,,52.905,5.7,62047,9312,,203215,,false
pg,T2,tri,hub,join,3,2,connected,ok,,,664.548,212.128,62047,9320,,17820298,,false
pg,T2,tri,hub,join,3,3,connected,ok,,,48.12,0.367,62047,9312,,203215,,false
pg,T2,tri,hub,join,3,4,connected,ok,,,24.633,0.341,62047,285820,,203736,,false
pg,T2,tri,hub,join,3,5,connected,ok,,,807.663,307.114,62047,9320,,17820298,,false
pg,T2,tri,hub,join,3,6,connected,ok,,,46.866,0.262,62047,285820,,203736,,false
pg,T2,tri,hub,join,4,0,default,ok,,,172.93,97.009,92765,736176,,575475,,false
pg,T2,tri,hub,join,4,1,connected,ok,,,86.688,4.79,92765,30004,,449155,,false
pg,T2,tri,hub,join,4,2,connected,ok,,,8556.158,2201.032,92765,491344,,101643353,,false
pg,T2,tri,hub,join,4,3,connected,ok,,,90.979,10.862,92765,30004,,449155,,false
pg,T2,tri,hub,join,4,4,connected,ok,,,170.378,7.287,92765,736176,,575475,,false
pg,T2,tri,hub,join,4,5,connected,ok,,,8191.488,510.199,92765,491344,,101643353,,false
pg,T2,tri,hub,join,4,6,connected,ok,,,194.151,14.192,92765,736176,,575475,,false
pg,T2,tri,hub,join,5,0,default,ok,,,35.504,1.197,62047,9308,,203215,,false
pg,T2,tri,hub,join,5,1,connected,ok,,,37.71,1.275,62047,9308,,203215,,false
pg,T2,tri,hub,join,5,2,connected,ok,,,1255.502,120.572,62047,9315,,17820298,,false
pg,T2,tri,hub,join,5,3,connected,ok,,,49.129,20.809,62047,9308,,203215,,false
pg,T2,tri,hub,join,5,4,connected,ok,,,55.937,3.1,62047,285816,,203736,,false
pg,T2,tri,hub,join,5,5,connected,ok,,,1115.534,54.073,62047,9315,,17820298,,false
pg,T2,tri,hub,join,5,6,connected,ok,,,79.893,22.704,62047,285816,,203736,,false
